Date,tank,treatment,temp,salinity,DO,pH,time
10/6/2022,4,L,32.6,18.49,6.6,8.06,pwc
10/7/2022,4,L,33.8,18.87,6.5,8.24,am
10/7/2022,4,L,33.2,16.69,6.5,8.08,pwc
10/8/2022,4,L,33.8,17.07,6.5,8.24,am
10/8/2022,4,L,33.2,13.36,6.7,8.14,pwc
10/9/2022,4,L,33.7,13.89,6.7,8.31,am
10/9/2022,4,L,33.1,10.9,6.9,8.24,pwc
10/10/2022,4,L,34.2,11.09,6.6,8.14,am
10/10/2022,4,L,33.4,8.26,6.8,8.31,pwc
10/11/2022,4,L,34.2,8.12,6.7,8.29,am
10/11/2022,4,L,33.6,4.64,6.8,8.34,pwc
10/12/2022,4,L,34.1,4.61,6.8,8.39,am
10/12/2022,4,L,33.4,2.39,7,8.63,pwc
10/13/2022,4,L,34.2,2.67,6.9,8.5,am
10/13/2022,4,L,33.1,2.51,7,8.58,pwc
10/14/2022,4,L,34.2,2.63,6.9,8.47,am
10/14/2022,4,L,33.2,2.33,7,8.52,pwc
10/15/2022,4,L,34.3,2.82,6.9,8.49,am
10/15/2022,4,L,33.2,2.47,7,8.46,pwc
10/16/2022,4,L,34.2,2.93,6.9,8.45,am
10/16/2022,4,L,33.4,2.95,7,8.44,pwc
10/17/2022,4,L,34.2,2.94,6.9,8.48,am
10/17/2022,4,L,33.2,2.1,7,8.61,pwc
10/18/2022,4,L,34.2,2.24,7,8.39,am
10/18/2022,4,L,33.7,2.21,7,8.56,pwc
10/19/2022,4,L,34.2,2.06,7.1,8.28,am
10/19/2022,4,L,32.7,2.16,7.2,8.49,pwc
10/20/2022,4,L,33.9,3,7,8.23,am
10/20/2022,4,L,34.1,2.82,7,8.23,pwc
10/21/2022,4,L,34.2,2.51,7,8.59,am
10/3/2022,5,H,29.8,30.49,6.5,8.08,am
10/3/2022,5,H,32,32.35,6.1,8.05,pwc
10/4/2022,5,H,29.8,32.44,6.4,8.02,am
10/4/2022,5,H,31.9,33.62,6,8.01,pwc
10/5/2022,5,H,31.6,34.03,6.1,8.05,am
10/5/2022,5,H,32,35.92,6,8.04,pwc
10/6/2022,5,H,32.9,35.89,6,8.07,am
10/6/2022,5,H,33,38.08,6,8.04,pwc
10/7/2022,5,H,33.8,38.11,5.8,8.06,am
10/7/2022,5,H,33.1,38.11,5.9,8,pwc
10/8/2022,5,H,33.8,40.02,5.8,8.04,am
10/8/2022,5,H,32.9,40.05,5.8,8.08,pwc
10/9/2022,5,H,34,41.77,5.7,8.08,am
10/9/2022,5,H,33.1,41.45,7.3,8.03,pwc
10/10/2022,5,H,34.1,42.89,5.6,8.12,am
10/10/2022,5,H,33.2,42.86,5.8,8.04,pwc
10/11/2022,5,H,34.2,43.63,5.6,7.97,am
10/11/2022,5,H,33.4,46.25,5.6,8.08,pwc
10/12/2022,5,H,34.1,46.13,5.5,8,am
10/12/2022,5,H,33.4,49.45,5.6,8.02,pwc
10/13/2022,5,H,34.2,49.07,5.4,7.95,am
10/13/2022,5,H,34.4,49.4,5.5,7.99,pwc
10/14/2022,5,H,34.2,49.96,5.4,7.94,am
10/14/2022,5,H,34.9,49.97,5.4,7.95,pwc
10/15/2022,5,H,34.2,49.88,5.4,7.99,am
10/15/2022,5,H,34.8,49.56,5.4,8.01,pwc
10/16/2022,5,H,34.2,50.57,5.4,7.9,am
10/16/2022,5,H,34.5,50.69,5.4,8.01,pwc
10/17/2022,5,H,34.2,51.09,5.4,8.03,am
10/17/2022,5,H,33,49.69,5.7,8.12,pwc
10/18/2022,5,H,34.2,49.17,5.4,8,am
10/18/2022,5,H,33.2,49.73,5.7,8.05,pwc
10/19/2022,5,H,34.1,50.01,5.5,7.82,am
10/19/2022,5,H,32.8,49.82,5.6,8.01,pwc
10/20/2022,5,H,34,49.83,5.5,7.87,am
10/20/2022,5,H,34.1,49.84,7.1,7.8,pwc
10/21/2022,5,H,34.2,50.46,7,8.05,am
10/21/2022,5,H,32.5,49.78,5.6,8.03,pwc
10/22/2022,5,H,33.9,50.06,5.6,8.08,am
10/22/2022,5,H,33.6,50.22,7.4,8.08,pwc
10/23/2022,5,H,33.7,50.12,5.6,8.03,am
10/23/2022,5,H,33.9,50.21,5.6,8.03,pwc
10/24/2022,5,H,33.9,51.51,5.4,8.19,am
10/24/2022,5,H,33.6,49.1,5.5,8.16,pwc
10/25/2022,5,H,34.2,48.83,5.5,8.05,am
10/25/2022,5,H,34.1,48.22,7.2,8.06,pwc
10/3/2022,6,H,28.9,30.62,6.6,8.09,am
10/3/2022,6,H,31.9,32.35,6.1,8.05,pwc
10/4/2022,6,H,29.9,32.76,6.4,8.07,am
10/4/2022,6,H,31.4,33.88,6.1,7.98,pwc
10/5/2022,6,H,31.4,33.93,6.1,8.05,am
10/5/2022,6,H,32.1,36.07,6,8.04,pwc
10/6/2022,6,H,32.5,36.12,6,8.07,am
10/6/2022,6,H,33.2,38.08,5.9,8.04,pwc
10/7/2022,6,H,33.3,38.2,5.8,8.06,am
10/7/2022,6,H,33.3,39.73,7.1,8.01,pwc
10/8/2022,6,H,33.6,39.85,5.8,8.04,am
10/8/2022,6,H,33.3,41.25,5.8,8.04,pwc
10/9/2022,6,H,33.6,40.98,5.7,8.08,am
10/9/2022,6,H,33.3,43.21,7.2,8.03,pwc
10/10/2022,6,H,33.9,43.42,5.6,8.11,am
10/10/2022,6,H,33.8,44.2,5.7,8.04,pwc
10/11/2022,6,H,34.3,44.57,5.6,7.97,am
10/11/2022,6,H,34,46.31,5.5,8.08,pwc
10/12/2022,6,H,34,46.86,5.5,8.01,am
10/12/2022,6,H,33.9,48.92,5.5,8.02,pwc
10/13/2022,6,H,34,49.23,5.4,7.95,am
10/13/2022,6,H,34.5,49.56,5.5,7.95,pwc
10/14/2022,6,H,34.2,50.36,5.4,7.95,am
10/14/2022,6,H,34.5,50.44,5.4,7.96,pwc
10/15/2022,6,H,34,50.76,5.4,7.99,am
10/15/2022,6,H,34.5,50.83,5.4,8.02,pwc
10/16/2022,6,H,34.1,50.83,5.4,7.99,am
10/16/2022,6,H,34.4,50.93,5.4,8,pwc
10/17/2022,6,H,34.2,51.66,5.4,8.02,am
10/17/2022,6,H,33.7,49.77,7.2,8.12,pwc
10/18/2022,6,H,33.8,50.14,5.4,8,am
10/18/2022,6,H,33.6,50.54,5.5,8.06,pwc
10/19/2022,6,H,33.8,50.73,5.5,7.83,am
10/19/2022,6,H,33,49.93,5.6,8.02,pwc
10/20/2022,6,H,33.8,50.73,7.2,7.87,am
10/20/2022,6,H,33.9,50.73,7.1,7.8,pwc
10/21/2022,6,H,34,50.97,5.4,8.06,am
10/21/2022,6,H,32.4,50.3,7.3,8.03,pwc
10/22/2022,6,H,33.4,50.97,5.6,8.08,am
10/22/2022,6,H,34.3,50.47,7.5,8.08,pwc
10/23/2022,6,H,33.7,50.23,7.1,8.07,am
10/23/2022,6,H,34.2,50.11,7.7,8.08,pwc
10/24/2022,6,H,33.7,51.99,5.4,8.19,am
10/24/2022,6,H,33.8,49.62,5.4,8.18,pwc
10/25/2022,6,H,33.7,50.1,5.5,8.07,am
10/25/2022,6,H,33.4,49.8,7.3,8.09,pwc
10/3/2022,7,L,29.3,30.56,6.6,8.08,am
10/3/2022,7,L,31.9,27.93,6.3,7.94,pwc
10/4/2022,7,L,30,28.03,6.6,8.07,am
10/4/2022,7,L,31.3,24.6,6.4,8.03,pwc
10/5/2022,7,L,31.3,25.05,6.5,8.15,am
10/5/2022,7,L,32.3,21.18,6.6,8.01,pwc
10/6/2022,7,L,32.3,21.76,6.5,8.21,am
10/6/2022,7,L,33,18.47,6.6,8.07,pwc
10/7/2022,7,L,33.2,18.8,6.5,8.24,am
10/7/2022,7,L,33.3,16.93,6.5,8.09,pwc
10/8/2022,7,L,33.4,17.36,6.5,8.23,am
10/8/2022,7,L,33.3,13.7,6.7,8.14,pwc
10/9/2022,7,L,33.3,13.95,6.6,8.31,am
10/9/2022,7,L,33.5,10.84,6.8,8.25,pwc
10/10/2022,7,L,33.8,11.23,6.7,8.39,am
10/10/2022,7,L,33.7,8.64,6.8,8.21,pwc
10/11/2022,7,L,34.4,8.1,6.8,8.33,am
10/11/2022,7,L,33.9,4.73,6.9,8.35,pwc
10/12/2022,7,L,34.2,4.79,6.9,8.36,am
10/12/2022,7,L,33.3,2.42,7.3,8.63,pwc
10/13/2022,7,L,34,2.46,7,8.51,am
10/13/2022,7,L,33.9,2.33,6.9,8.61,pwc
10/14/2022,7,L,34.4,2.44,7,8.49,am
10/14/2022,7,L,33.9,2.3,6.9,8.53,pwc
10/15/2022,7,L,34.1,2.46,7,8.51,am
10/15/2022,7,L,34.4,2.59,6.9,8.49,pwc
10/16/2022,7,L,34,2.66,6.9,8.41,am
10/16/2022,7,L,33.9,2.97,6.9,8.43,pwc
10/17/2022,7,L,34.2,3.12,6.9,8.51,am
10/17/2022,7,L,33.6,2.11,7,8.62,pwc
10/18/2022,7,L,33.8,2.29,7,8.46,am
10/18/2022,7,L,33.9,2.29,7.1,8.62,pwc
10/19/2022,7,L,34.3,2.08,7.1,8.26,am
10/19/2022,7,L,32.9,2.37,7.3,8.5,pwc
10/20/2022,7,L,33.9,2.41,7.1,8.26,am
10/20/2022,7,L,34,3.3,7,8.27,pwc
10/21/2022,7,L,34,2.49,7,8.59,am
10/3/2022,8,C,29.4,30.63,6.5,8.08,am
10/3/2022,8,C,32,30.56,6.2,7.9,pwc
10/4/2022,8,C,29.6,30.26,6.5,8.05,am
10/4/2022,8,C,31.3,30.18,6.2,8.01,pwc
10/5/2022,8,C,31.6,30.38,6.3,8.12,am
10/5/2022,8,C,32.1,29.88,6.2,7.99,pwc
10/6/2022,8,C,32.3,29.98,6.2,8.13,am
10/6/2022,8,C,32.7,30.25,6.2,7.97,pwc
10/7/2022,8,C,33.8,30.8,6.1,8.13,am
10/7/2022,8,C,33.5,29.59,6.1,7.95,pwc
10/8/2022,8,C,33.3,29.83,6.1,8.11,am
10/8/2022,8,C,33.2,29.87,6.1,8.01,pwc
10/9/2022,8,C,33.2,30.14,6.1,8.15,am
10/9/2022,8,C,33.4,29.22,6.9,7.99,pwc
10/10/2022,8,C,34,30.08,6.1,8.17,am
10/10/2022,8,C,33.6,29.4,6.1,8,pwc
10/11/2022,8,C,34.4,30.08,7,8.04,am
10/11/2022,8,C,33.9,30.51,6,8.02,pwc
10/12/2022,8,C,34.5,30.8,6,8.03,am
10/12/2022,8,C,34.1,30.23,6.2,7.98,pwc
10/13/2022,8,C,34,30.67,6,7.97,am
10/13/2022,8,C,33.4,30.4,6.1,7.97,pwc
10/14/2022,8,C,34.4,30.84,6,7.96,am
10/14/2022,8,C,33.2,30.93,6,7.94,pwc
10/15/2022,8,C,34.1,31.14,5.9,8.02,am
10/15/2022,8,C,34.2,29.96,6,8,pwc
10/16/2022,8,C,34,30.6,5.9,8,am
10/16/2022,8,C,33.3,31.01,6,8.03,pwc
10/17/2022,8,C,34.1,31.17,6,8.05,am
10/17/2022,8,C,33.2,29.37,6.1,8.06,pwc
10/18/2022,8,C,34.2,29.32,6.1,7.94,am
10/18/2022,8,C,33.6,29.8,6.2,7.99,pwc
10/19/2022,8,C,34.3,29.16,6.1,7.8,am
10/19/2022,8,C,33.2,29.67,7.3,7.94,pwc
10/20/2022,8,C,34.1,29.84,6.1,7.8,am
10/20/2022,8,C,34.1,30.15,7.1,7.75,pwc
10/21/2022,8,C,34.1,30.94,6,8.08,am
10/21/2022,8,C,32.6,29.53,6.2,8.06,pwc
10/22/2022,8,C,33.6,30.57,6.2,8.14,am
10/22/2022,8,C,34.1,30.12,6,8.14,pwc
10/23/2022,8,C,33.1,30.02,6.7,8.11,am
10/23/2022,8,C,34.1,29.96,6.9,8.03,pwc
10/24/2022,8,C,33.7,31.66,6,8.22,am
10/24/2022,8,C,33.8,28.69,6,8.15,pwc
10/25/2022,8,C,33.8,29.98,6.1,8.12,am
10/25/2022,8,C,33.6,30.24,6,8.06,pwc
10/3/2022,9,L,29.5,30.27,6.6,8.09,am
10/3/2022,9,L,32,26.84,6.3,7.9,pwc
10/4/2022,9,L,29.2,27.98,6.6,8.02,am
10/4/2022,9,L,31.3,24.74,6.4,8.01,pwc
10/5/2022,9,L,31.5,24.93,6.5,8.13,am
10/5/2022,9,L,32.3,21.32,6.5,7.99,pwc
10/6/2022,9,L,32.2,21.7,6.5,8.21,am
10/6/2022,9,L,32.6,18.55,6.6,8.06,pwc
10/7/2022,9,L,33.9,18.93,6.5,8.24,am
10/7/2022,9,L,33.6,16.76,6.6,8.08,pwc
10/8/2022,9,L,33.3,16.96,6.6,8.24,am
10/8/2022,9,L,33.1,13.66,6.7,8.13,pwc
10/9/2022,9,L,33.1,13.71,6.7,8.32,am
10/9/2022,9,L,33.2,10.83,6.8,8.23,pwc
10/10/2022,9,L,34.1,11.06,6.7,8.39,am
10/10/2022,9,L,33.3,8.05,6.9,8.17,pwc
10/11/2022,9,L,34.6,8.51,6.7,8.32,am
10/11/2022,9,L,34,4.67,6.9,8.33,pwc
10/12/2022,9,L,34.5,4.64,6.9,8.36,am
10/12/2022,9,L,34.1,2.48,7.1,8.61,pwc
10/13/2022,9,L,34.2,2.47,7,8.47,am
10/13/2022,9,L,33.2,2.44,7.1,8.59,pwc
10/14/2022,9,L,34.3,2.54,6.9,8.43,am
10/14/2022,9,L,33.3,2.68,7.1,8.5,pwc
10/15/2022,9,L,34,2.55,7,8.45,am
10/15/2022,9,L,34,2.99,6.9,8.47,pwc
10/16/2022,9,L,34.2,2.81,6.9,8.41,am
10/16/2022,9,L,33.5,2.76,7,8.49,pwc
10/17/2022,9,L,34.2,2.77,7,8.5,am
10/17/2022,9,L,33.5,2.15,7.1,8.6,pwc
10/18/2022,9,L,34.1,2.19,7,8.32,am
10/18/2022,9,L,33.5,2.09,7.2,8.53,pwc
10/19/2022,9,L,34.1,2.14,7.1,8.26,am
10/19/2022,9,L,33.2,2.28,7.2,8.47,pwc
10/20/2022,9,L,34.1,2.78,7.1,8.24,am
10/20/2022,9,L,34.2,2.55,7.1,8.22,pwc
10/21/2022,9,L,34.3,2.82,7,8.5,am
10/3/2022,10,C,29.7,30.73,6.5,8.09,am
10/3/2022,10,C,32.1,25.75,6.3,7.9,pwc
10/4/2022,10,C,29.6,30.74,6.5,8.01,am
10/4/2022,10,C,31.5,30.35,6.3,8,pwc
10/5/2022,10,C,31.6,30.72,6.3,8.12,am
10/5/2022,10,C,32.1,29.83,6.2,7.98,pwc
10/6/2022,10,C,32.7,30.43,6.3,8.12,am
10/6/2022,10,C,32.6,30.35,6.2,7.97,pwc
10/7/2022,10,C,34,30.91,6.1,8.13,am
10/7/2022,10,C,33.3,29.77,6.1,7.95,pwc
10/8/2022,10,C,33.5,30.86,6.1,8.11,am
10/8/2022,10,C,33.1,29.89,6.2,8.01,pwc
10/9/2022,10,C,33.1,29.72,6.3,8.14,am
10/9/2022,10,C,33,29.95,6.2,8,pwc
10/10/2022,10,C,34.1,30.68,6,8.16,am
10/10/2022,10,C,33.2,29.75,6.2,8.01,pwc
10/11/2022,10,C,34.7,30.11,6,8.04,am
10/11/2022,10,C,33.7,30.03,6,8,pwc
10/12/2022,10,C,34.4,30.62,6.1,8.01,am
10/12/2022,10,C,33.8,29.71,6.1,7.97,pwc
10/13/2022,10,C,34.4,30.22,6,7.95,am
10/13/2022,10,C,33.1,30.62,6.1,7.96,pwc
10/14/2022,10,C,34.2,31.08,6,7.95,am
10/14/2022,10,C,33.4,31.07,6.1,7.92,pwc
10/15/2022,10,C,34.1,31.88,6,8,am
10/15/2022,10,C,33.9,30.1,7.1,7.97,pwc
10/16/2022,10,C,34.4,30.68,6,7.98,am
10/16/2022,10,C,33.8,30.77,5.9,8.01,pwc
10/17/2022,10,C,34.2,30.89,6,8.02,am
10/17/2022,10,C,33.3,29.23,6.1,8.04,pwc
10/18/2022,10,C,33.9,29.32,6.1,7.94,am
10/18/2022,10,C,33.3,29.17,6.2,7.96,pwc
10/19/2022,10,C,33.9,30.14,6.1,7.79,am
10/19/2022,10,C,33.1,29.81,6.2,7.92,pwc
10/20/2022,10,C,34.2,30.33,6.1,7.77,am
10/20/2022,10,C,34.1,30.16,7.1,7.72,pwc
10/21/2022,10,C,34.5,30.98,6,8.09,am
10/21/2022,10,C,32.6,29.3,6.2,8.05,pwc
10/22/2022,10,C,34.1,30.11,6.1,8.14,am
10/22/2022,10,C,34.1,30.17,6.2,8.13,pwc
10/23/2022,10,C,33.1,30.19,6,8.05,am
10/23/2022,10,C,34.2,30.07,6.1,8.1,pwc
10/24/2022,10,C,34.1,31.37,6,8.21,am
10/24/2022,10,C,33.2,28.88,6.1,8.15,pwc
10/25/2022,10,C,33.9,29.77,6.1,8.11,am
10/25/2022,10,C,33.5,29.62,7.1,8.04,pwc
10/3/2022,11,H,32,30.77,6.3,8.08,am
10/3/2022,11,H,32.2,32.21,6.1,8.04,pwc
10/4/2022,11,H,31.4,32.58,6.3,8.02,am
10/4/2022,11,H,28.6,34.02,6.4,8.01,pwc
10/5/2022,11,H,33.1,34.21,6,8.11,am
10/5/2022,11,H,31.7,35.82,6.1,7.99,pwc
10/6/2022,11,H,33.3,36.55,6,8.08,am
10/6/2022,11,H,33,37.85,6,8.01,pwc
10/7/2022,11,H,34.8,38.56,5.8,8.09,am
10/7/2022,11,H,33,39.55,5.8,7.96,pwc
10/8/2022,11,H,34,40.9,5.8,8.09,am
10/8/2022,11,H,33.3,39.97,6.2,8.02,pwc
10/9/2022,11,H,35.1,41.79,7.1,8.09,am
10/9/2022,11,H,33.1,43.16,7.3,8,pwc
10/10/2022,11,H,34.4,43.75,5.7,8.1,am
10/10/2022,11,H,33.5,44.01,5.7,8.02,pwc
10/11/2022,11,H,34.6,44.74,5.6,8.02,am
10/11/2022,11,H,33.6,46.02,5.6,8.03,pwc
10/12/2022,11,H,34.4,47.22,5.5,8,am
10/12/2022,11,H,33.5,48.73,5.5,7.99,pwc
10/13/2022,11,H,34.5,49.98,5.4,7.95,am
10/13/2022,11,H,34.2,49.57,5.5,7.98,pwc
10/14/2022,11,H,34.5,50.99,5.4,7.94,am
10/14/2022,11,H,33.7,50.67,5.6,7.93,pwc
10/15/2022,11,H,34.5,51.58,5.4,7.99,am
10/15/2022,11,H,33.9,51,7.3,7.99,pwc
10/16/2022,11,H,34.5,51.5,5.4,7.98,am
10/16/2022,11,H,33.4,51.73,5.6,7.99,pwc
10/17/2022,11,H,34.9,52.17,5.4,8.02,am
10/17/2022,11,H,33.4,49.71,5.5,8.07,pwc
10/18/2022,11,H,34.1,50.32,5.6,7.96,am
10/18/2022,11,H,33.2,50.35,7.2,7.97,pwc
10/19/2022,11,H,34.6,50.48,5.5,7.82,am
10/19/2022,11,H,32.9,49.05,7.3,7.93,pwc
10/20/2022,11,H,34.3,49.46,7.1,7.8,am
10/20/2022,11,H,34,49.87,7.1,7.8,pwc
10/21/2022,11,H,34.5,51.44,7.1,8.01,am
10/21/2022,11,H,32.4,49.51,7.3,8.02,pwc
10/22/2022,11,H,34.4,50.76,5.4,8.06,am
10/22/2022,11,H,34.2,50.9,7.1,8.06,pwc
10/23/2022,11,H,33.6,50.88,6.9,8.01,am
10/23/2022,11,H,34.4,50.09,5.5,8.01,pwc
10/24/2022,11,H,34.8,52.44,5.3,8.17,am
10/24/2022,11,H,32.9,49.97,7.3,8.18,pwc
10/25/2022,11,H,34.1,50.64,5.9,8.08,am
10/25/2022,11,H,33.3,48.73,7.1,8.04,pwc
10/3/2022,12,C,31.8,30.78,6.3,8.09,am
10/3/2022,12,C,32.1,30.39,6.2,7.88,pwc
10/4/2022,12,C,31.1,30.59,6.3,8.05,am
10/4/2022,12,C,28.7,30.31,6.5,8,pwc
10/5/2022,12,C,30.28,30.56,6.2,8.1,am
